2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.040334 | 0.040418 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'fangxinzhu' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.034742 | 0.034771 | SHOW COLUMNS FROM `iwide_core_admin` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.034263 | 0.034289 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.032983 | 0.033011 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'fangxinzhu' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.03132 | 0.031346 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:15 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.034207 | 0.034234 | UPDATE `iwide_core_admin` SET `admin_id` = '200', `role_id` = '1', `inter_id` = 'a450089706', `entity_id` = '', `username` = 'fangxinzhu', `password` = 'fbfff4bfc48289105716b6d771cc10da70b8c9cd', `nickname` = 'fangxinzhu', `head_pic` = '', `parent_id` = '17', `email` = 'limengqun@mofly.cn', `create_time` = '2016-05-26 20:03:53', `update_time` = '2017-07-05 11:22:15', `remark` = '', `status` = '1', `wx_code` = '', `is_wx_report` = '0', `is_em_report` = '0', `is_sms_report` = '0', `publics` = '' WHERE `admin_id` = '200' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:16 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.036129 | 0.036153 | SELECT * FROM `iwide_core_admin_role` WHERE `role_id` = '1'  LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:16 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.029978 | 0.030012 | SHOW COLUMNS FROM `iwide_core_admin_log` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:16 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.030324 | 0.030363 | INSERT INTO `iwide_core_admin_log` (`action_type`, `admin_id`, `action_info`, `action_controller`, `action_model`, `module`, `remote_ip`, `action_time`) VALUES ('1', '200', '登陆成功', 'Auth', '', 'privilege', '2130706433', '2017-07-05 11:22:16') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:16 | 1544 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.031639 | 0.031681 | SELECT `inter_id`, `name`, `run_status`, `arrearage_money`, `stop_service_time` FROM `iwide_publics` WHERE `inter_id` IN('a450089706') AND `run_status` IN('arrearage', 'stop') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:17 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.030432 | 0.030538 | select count(*) as count from iwide_hotel_orders where inter_id='a450089706' and order_time>='1499184000' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:17 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.033348 | 0.033387 | select count(*) as count from iwide_hotel_orders where inter_id='a450089706' and startdate<='20170705' and enddate>'20170705' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-05 11:22:17 | 555 | /index.php | query | a86ba71e9a0913e677ef8b288db6d6c913731e59 | 0.028811 | 0.028837 | SELECT * FROM `iwide_pay_config` WHERE `inter_id` = 'a450089706' AND `module` = 'hotel' ORDER BY `sort` desc | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
