2017-07-11 10:37:15 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.033546 | 0.033577 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:15 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.038944 | 0.03897 | SHOW COLUMNS FROM `iwide_core_admin` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.032041 | 0.032067 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.039746 | 0.039778 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.042693 | 0.042728 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.039575 | 0.039609 | UPDATE `iwide_core_admin` SET `admin_id` = '282', `role_id` = '1', `inter_id` = 'a484619482', `entity_id` = '', `username` = 'huiyuan', `password` = '9547adda58a8ebc09c50ade0eecc887618b4e0e2', `nickname` = 'AI-会员君', `head_pic` = '', `parent_id` = '281', `email` = 'zhangyong@mofly.cn', `create_time` = '2017-01-23 10:13:20', `update_time` = '2017-07-11 10:37:16', `remark` = '', `status` = '1', `wx_code` = '', `is_wx_report` = '0', `is_em_report` = '0', `is_sms_report` = '0', `publics` = '' WHERE `admin_id` = '282' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.042872 | 0.042888 | SELECT * FROM `iwide_core_admin_role` WHERE `role_id` = '1'  LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.037353 | 0.037375 | SHOW COLUMNS FROM `iwide_core_admin_log` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.04201 | 0.042027 | INSERT INTO `iwide_core_admin_log` (`action_type`, `admin_id`, `action_info`, `action_controller`, `action_model`, `module`, `remote_ip`, `action_time`) VALUES ('1', '282', '登陆成功', 'Auth', '', 'privilege', '2130706433', '2017-07-11 10:37:16') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:16 | 10570 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.027158 | 0.027185 | SELECT `inter_id`, `name`, `run_status`, `arrearage_money`, `stop_service_time` FROM `iwide_publics` WHERE `inter_id` IN('a484619482') AND `run_status` IN('arrearage', 'stop') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:18 | 732 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.030213 | 0.030256 | select count(*) as count from iwide_hotel_orders where inter_id='a484619482' and order_time>='1499702400' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-11 10:37:18 | 732 | /index.php | query | fa258d269ceba4cd63f43f3671310e6f26cb2eb9 | 0.029931 | 0.030008 | select count(*) as count from iwide_hotel_orders where inter_id='a484619482' and startdate<='20170711' and enddate>'20170711' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
