2017-07-10 14:13:42 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.050241 | 0.050417 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:42 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.032111 | 0.032141 | SHOW COLUMNS FROM `iwide_core_admin` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:42 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.027311 | 0.02734 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:42 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.028367 | 0.028394 | SELECT * FROM `iwide_core_admin` WHERE `username` = 'huiyuan' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:42 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.03359 | 0.033616 | SELECT `role_name`, `role_label` FROM `iwide_core_admin_role` WHERE `role_id` = '1' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:43 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.033554 | 0.033577 | UPDATE `iwide_core_admin` SET `admin_id` = '282', `role_id` = '1', `inter_id` = 'a484619482', `entity_id` = '', `username` = 'huiyuan', `password` = '9547adda58a8ebc09c50ade0eecc887618b4e0e2', `nickname` = 'AI-会员君', `head_pic` = '', `parent_id` = '281', `email` = 'zhangyong@mofly.cn', `create_time` = '2017-01-23 10:13:20', `update_time` = '2017-07-10 14:13:42', `remark` = '', `status` = '1', `wx_code` = '', `is_wx_report` = '0', `is_em_report` = '0', `is_sms_report` = '0', `publics` = '' WHERE `admin_id` = '282' | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:43 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.031994 | 0.032011 | SELECT * FROM `iwide_core_admin_role` WHERE `role_id` = '1'  LIMIT 1 | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:43 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.035016 | 0.035047 | SHOW COLUMNS FROM `iwide_core_admin_log` | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:43 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.029065 | 0.029098 | INSERT INTO `iwide_core_admin_log` (`action_type`, `admin_id`, `action_info`, `action_controller`, `action_model`, `module`, `remote_ip`, `action_time`) VALUES ('1', '282', '登陆成功', 'Auth', '', 'privilege', '2130706433', '2017-07-10 14:13:43') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:43 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.033695 | 0.033721 | SELECT `inter_id`, `name`, `run_status`, `arrearage_money`, `stop_service_time` FROM `iwide_publics` WHERE `inter_id` IN('a484619482') AND `run_status` IN('arrearage', 'stop') | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
2017-07-10 14:13:45 | 733 | /index.php | query | d06250c909082955f0346a93c6e531cc4ce53236 | 0.027478 | 0.027509 | select count(*) as count from iwide_hotel_orders where inter_id='a484619482' and order_time>='1499616000' and isdel=0 and  status in(0,1,2,3,4,5,11) | host=30.iwide.cn:3306 dbname=iwide30dev_2016011813 username=iwide30dev
